,filter_length,lstm_nodes,num_filters,pool_size,mean,stddev
0,3,100,50,3,0.7138686130859503,0.021466053974670475
1,3,100,50,4,0.7122760450858454,0.020922563444828148
2,3,100,100,3,0.7214333111457766,0.012414257967868372
3,3,100,100,4,0.7247069232048806,0.01439945230877143
4,3,100,200,3,0.7188675071201185,0.00964611612518175
5,3,100,200,4,0.7284229153501489,0.004227912385542773
6,3,200,50,3,0.7233797833972788,0.01915755710803278
7,3,200,50,4,0.7124972349641281,0.0105896200470662
8,3,200,100,3,0.711877903055496,0.022284363185310758
9,3,200,100,4,0.7160805131186165,0.01288959011605623
10,3,200,200,3,0.7177615571248798,0.013215690861386527
11,3,200,200,4,0.715328467111096,0.014103946086272927
12,5,100,50,3,0.72886529522537,0.014762108867588997
13,5,100,50,4,0.7209466931725519,0.017368247003305207
14,5,100,100,3,0.7301924352544621,0.011924090302086939
15,5,100,100,4,0.7272284893223839,0.003253223105537187
16,5,100,200,3,0.7293076754618313,0.004731191585617825
17,5,100,200,4,0.7159920371440996,0.008335312806817999
18,5,200,50,3,0.7254589692994151,0.018156236990751536
19,5,200,50,4,0.7115239990730513,0.018314639162759067
20,5,200,100,3,0.7298385313537579,0.011030619104950859
21,5,200,100,4,0.7278920593290196,0.0007375948258747611
22,5,200,200,3,0.7147533732292742,0.012299914535096336
23,5,200,200,4,0.7278035832147529,0.0046632810686974896
24,8,100,50,3,0.7322716212805276,0.011835794255765586
25,8,100,50,4,0.7223180711915392,0.021804533113757425
26,8,100,100,3,0.7259013492115513,0.011899117690915673
27,8,100,100,4,0.7328024774809586,0.006331754560007246
28,8,100,200,3,0.7139128509993786,0.016321244414225215
29,8,100,200,4,0.7225834990702643,0.013104606973222794
30,8,200,50,3,0.7156823711199086,0.015610060225611525
31,8,200,50,4,0.7235567351986523,0.016565698953466747
32,8,200,100,3,0.7355452334266457,0.01050724675926207
33,8,200,100,4,0.7328024771566334,0.012428122789054568
34,8,200,200,3,0.7201946472520455,0.004834304811163968
35,8,200,200,4,0.7230258791880702,0.008723527161057459
