,embedding_length,filter_length,lstm_nodes,num_filters,pool_size,mean,stddev
0,4,8,100,100,4,0.7193983633627382,0.004103894226201098
1,4,10,100,100,4,0.726564919218187,0.019230966656659024
2,6,8,100,100,4,0.730856005358659,0.010150669118991174
3,6,10,100,100,4,0.7168325590074813,0.023603284515244165
4,8,8,100,100,4,0.730148197464963,0.013774295475383088
5,8,10,100,100,4,0.7278478211018132,0.011112282796920139
