,embedding_length,filter_length,lstm_nodes,num_filters,pool_size,means,stddev
141,16,5,100,200,3,0.7206671436316765,0.011722384577692377
142,16,5,100,200,4,0.7189232695110154,0.013052797196380628
143,16,5,100,200,7,0.7004113753981378,0.011289980346108147
144,16,5,150,100,3,0.7119030584602019,0.01982900137740011
145,16,5,150,100,4,0.7235288857118407,0.012520281428723724
146,16,5,150,100,7,0.6977284921903214,0.014186283271827416
147,16,5,150,150,3,0.7194598462293366,0.015247232922923638
148,16,5,150,150,4,0.7124396350959017,0.005259228255753852
149,16,5,150,150,7,0.6979073510706648,0.009160137842924665
150,16,5,150,200,3,0.7262117688343704,0.015971267140956837
151,16,5,150,200,4,0.7267036307952929,0.011842185498327875
152,16,5,150,200,7,0.680915757438041,0.02154873131331625
153,16,5,200,100,3,0.7138705060960057,0.01752880173748955
154,16,5,200,100,4,0.7181184045494701,0.01657775335557355
155,16,5,200,100,7,0.6949114648275779,0.00916137308322879
156,16,5,200,150,3,0.7206671435943637,0.013578438208724841
157,16,5,200,150,4,0.7200411375478094,0.008871342752574694
158,16,5,200,150,7,0.7053747093569847,0.004854793136626477
159,16,5,200,200,3,0.7154355213336582,0.015552742300762725
160,16,5,200,200,4,0.7166428187786413,0.012144411919242483
161,16,5,200,200,7,0.6883384009749577,0.01935867538889295
